Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
11-11-2020,20:39,VISA INC.,US92826C8394,NSY,CDED,6,212.6600,USD,-1275.96,USD,-1083.80,EUR,1.1761,-0.52,EUR,-1084.32,EUR,7d3f7bc0-17b3-4257-8335-ea3f0a6d02df
11-11-2020,20:39,JOHNSON & JOHNSON COMM,US4781601046,NSY,XNYS,5,147.6000,USD,-738.00,USD,-626.80,EUR,1.1762,-0.52,EUR,-627.32,EUR,3e33e023-b517-4a65-8dd7-da525f6254d7
11-11-2020,20:37,ACTIVISION BLIZZARD I,US00507V1098,NDQ,SOHO,7,76.3800,USD,-534.66,USD,-454.10,EUR,1.1762,-0.52,EUR,-454.62,EUR,bdd67866-20e7-4fcd-8a84-15f761f8f6d5
09-11-2020,21:07,AMAZON.COM INC. - COM,US0231351067,NDQ,ARCX,1,3216.0000,USD,-3216.00,USD,-2717.59,EUR,1.1822,-0.50,EUR,-2718.09,EUR,eca4a085-3c40-4b0b-bd9f-5d8c9e34407b
09-11-2020,21:06,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,12,222.5000,USD,-2670.00,USD,-2256.02,EUR,1.1823,-0.54,EUR,-2256.56,EUR,d4a84ec1-0a21-4ae6-a88d-59bafe00489d
09-11-2020,21:03,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,15,118.6600,USD,-1779.90,USD,-1504.69,EUR,1.1817,-0.55,EUR,-1505.24,EUR,e5b0120f-3f88-45f5-a6c0-a904744447d7
09-11-2020,21:02,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,5,292.7600,USD,-1463.80,USD,-1237.47,EUR,1.1817,-0.52,EUR,-1237.99,EUR,49a633e6-e0a1-4daa-9210-d1b3745afa11
06-11-2020,00:00,JPMORGAN EMERG,GB00BMXWN182,LSE,,2450,120.6000,GBX,-295470.00,GBX,-3256.97,EUR,90.7194,,,-3256.97,EUR,
06-11-2020,00:00,JPMORGAN EMERG,GB0003418950,LSE,,-245,1206.0000,GBX,295470.00,GBX,3256.97,EUR,90.7194,,,3256.97,EUR,
02-11-2020,19:02,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,XNAS,3,187.0000,USD,-561.00,USD,-482.54,EUR,1.1614,-0.51,EUR,-483.05,EUR,97071dca-bed1-4740-9f67-ce0090841573
02-11-2020,15:30,META PLATFORMS INC,US30303M1027,NDQ,XNAS,5,263.4200,USD,-1317.10,USD,-1132.31,EUR,1.1620,-0.52,EUR,-1132.83,EUR,6c5a7a86-258d-45b4-ab1a-6ab80e1b7179
02-11-2020,15:30,BOEING COMPANY (THE) C,US0970231058,NSY,XNYS,3,145.6700,USD,-437.01,USD,-375.70,EUR,1.1620,-0.51,EUR,-376.21,EUR,56b9d478-8679-4ebe-a5e4-0893c7902140
30-09-2020,09:24,JPMORGAN G,GB00B18JK166,LSE,,400,270.0000,GBX,-108000.00,GBX,-1180.71,EUR,91.3793,-4.59,EUR,-1185.30,EUR,ca52296e-7f93-4db5-86fd-ee862f9df121
30-09-2020,09:00,JPMORGAN EMERG,GB0003418950,LSE,,14,1074.0000,GBX,-15036.00,GBX,-164.54,EUR,91.2892,-0.08,EUR,-164.62,EUR,f6d7cc4d-7e3d-4821-a2c4-b1af79347fa6
30-09-2020,09:00,JPMORGAN EMERG,GB0003418950,LSE,,19,1074.0000,GBX,-20406.00,GBX,-223.26,EUR,91.3092,-4.11,EUR,-227.37,EUR,f6d7cc4d-7e3d-4821-a2c4-b1af79347fa6
28-09-2020,20:01,BANK OF AMERICA CORPOR,US0605051046,NSY,,23,24.2050,USD,-556.72,USD,-477.38,EUR,1.1650,-0.58,EUR,-477.96,EUR,b9eeb1d9-a865-4fdc-8942-4efb51737e37
28-09-2020,20:01,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,,6,89.8100,USD,-538.86,USD,-462.03,EUR,1.1651,-0.52,EUR,-462.55,EUR,5c29b33b-aa86-4764-a30c-f12c3295107d
28-09-2020,19:59,DOCUSIGN INC. - COMMO,US2561631068,NDQ,,-9,211.5900,USD,1904.31,USD,1629.24,EUR,1.1677,-0.53,EUR,1628.71,EUR,c2c1de9b-c4fd-48f6-ae29-e2e1b32c9544
04-09-2020,12:00,JPMORGAN EMERG,GB0003418950,LSE,,212,1060.0000,GBX,-224720.00,GBX,-2521.24,EUR,89.0416,-5.26,EUR,-2526.50,EUR,1071d79c-d6b3-408d-83f2-12a35e698b77
31-08-2020,00:00,APPLE INC. - COMMON ST,US0378331005,NDQ,,20,124.8075,USD,-2496.15,USD,-2103.01,EUR,1.1869,,,-2103.01,EUR,
31-08-2020,00:00,APPLE INC. - COMMON ST,US0378331005,NDQ,,-5,499.2300,USD,2496.15,USD,2103.01,EUR,1.1869,,,2103.01,EUR,
11-08-2020,21:15,ALIBABA GROUP HOLDING,US01609W1027,NSY,,2,249.0000,USD,-498.00,USD,-424.41,EUR,1.1722,-0.51,EUR,-424.92,EUR,c94a7cd1-4179-458c-a2d2-bb0489b6e5b7
04-08-2020,15:30,JP MORGAN CHASE & CO.,US46625H1005,NSY,,5,95.9100,USD,-479.55,USD,-408.89,EUR,1.1716,-0.52,EUR,-409.41,EUR,33c2e725-dc7c-43b0-9197-023b8fd5dcd8
03-08-2020,00:00,BROOKFIELD RENEWABLE CORPORATION CLASS A SUBORDINA,CA11284V1058,NSY,,57,40.6299,USD,-2315.90,USD,-2064.17,EUR,1.1220,,,-2064.17,EUR,
03-08-2020,00:00,TERRAFORM POWER INC.,US88104R2094,NDQ,,-120,19.3500,USD,2322.00,USD,2069.60,EUR,1.1220,,,2069.60,EUR,
02-07-2020,15:44,WALT DISNEY COMPANY (T,US2546871060,NSY,,4,114.0000,USD,-456.00,USD,-404.72,EUR,1.1256,-0.51,EUR,-405.23,EUR,57602a1d-73b1-46d4-8586-d8599536e6fd
02-07-2020,11:50,UNILEVER NV,NL0000388619,XET,XETV,10,47.7700,EUR,-477.70,EUR,-477.70,EUR,,-4.24,EUR,-481.94,EUR,4e2d0e6c-0a96-440f-9266-fdcf22a1fcb7
04-06-2020,13:28,BAYERISCHE MOTOREN WERKE AG,DE0005190003,XET,XETU,8,57.3400,EUR,-458.72,EUR,-458.72,EUR,,-4.23,EUR,-462.95,EUR,bea9142e-b573-40d8-8ba0-d1b50de25208
01-06-2020,18:16,ACTIVISION BLIZZARD I,US00507V1098,NDQ,SOHO,5,73.2096,USD,-366.05,USD,-328.94,EUR,1.1117,-0.52,EUR,-329.46,EUR,c6a29947-0f70-4a8c-9e49-f86d8644fbf4
04-05-2020,09:02,ADIDAS AG,DE000A1EWWW0,XET,XETU,3,203.0000,EUR,-609.00,EUR,-609.00,EUR,,-4.30,EUR,-613.30,EUR,20b2b98d-d1ea-457d-ac9c-70251253ca4c
01-05-2020,15:30,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,3,69.1000,USD,-207.30,USD,-188.83,EUR,1.0967,-0.51,EUR,-189.34,EUR,a81d587b-8cec-43ee-9762-3c8cf15eb145
27-04-2020,15:56,AXA SA,FR0000120628,XET,XETV,20,14.9600,EUR,-299.20,EUR,-299.20,EUR,,-4.15,EUR,-303.35,EUR,0a748cce-f891-48ba-ac13-b7c6aa5ffbf9
30-03-2020,20:48,BERKSHIRE HATHAWAY INC,US0846707026,NSY,ARCX,3,182.3300,USD,-546.99,USD,-495.60,EUR,1.1026,-0.51,EUR,-496.11,EUR,9f14b478-4750-4488-9b38-f4bdf0aaf0fe
19-03-2020,14:44,AMAZON.COM INC. - COM,US0231351067,NDQ,XNAS,1,1833.0000,USD,-1833.00,USD,-1696.12,EUR,1.0796,-0.50,EUR,-1696.62,EUR,8abd0af5-cd5a-4236-a9d9-411e4571e14a
19-03-2020,14:31,BERKSHIRE HATHAWAY INC,US0846707026,NSY,XNYS,2,170.0000,USD,-340.00,USD,-314.41,EUR,1.0803,-0.51,EUR,-314.92,EUR,1b50d81f-c5dd-4050-8252-2fedb12a4286
27-02-2020,20:36,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,2,280.1000,USD,-560.20,USD,-509.83,EUR,1.0977,-0.51,EUR,-510.34,EUR,e5e7f83c-ab89-44aa-b6a9-ca00786f7ba3
28-01-2020,15:35,COLUMBIA SPORTSWEAR CO,US1985161066,NDQ,XNAS,6,91.7900,USD,-550.74,USD,-500.63,EUR,1.0990,-0.52,EUR,-501.15,EUR,0cbb2443-bd23-492c-b6f6-64d50c551adb
03-01-2020,09:04,UNILEVER NV,NL0000388619,XET,XETV,14,51.0500,EUR,-714.70,EUR,-714.70,EUR,,-4.41,EUR,-719.11,EUR,39f92d5b-550f-428e-a75a-ca64994ba62d
